cm_id,claim_id,start_date,end_date,pl,productmodel,partno,totalamount,program_number,program_name,descr,actual_activity,reseller,claim_status,business_type,activity_subtype,activity_subtype_id
24281,7901,2020-01-12T00:00:00.000+0000,2020-01-18T00:00:00.000+0000,4H- (7CC47AA),HP OfficeJet 5255 All-in-One Printer,M2U75A,10000,9008,Ad Funds - Inkjet Printers FY'20 H12,MARKET DEVELOPMENT FUNDS,Ad Funding,Best Buy,Approved,HPS HW,Program,Advertising
50220,20134,2022-07-24T00:00:00.000+0000,2022-07-30T00:00:00.000+0000,MS- (544H8A),HyperXStingerCoreW+7.1HHSS1C-BA-BK/G,4P4F0AA,180,HAIS-MC-X00622,Micro Center July Promo 7/3/2022-7/30/2022		,undefined,Instant Savings,Microcenter,Pending,HyperX,UNKNOWN,UNKNOWN
24139,7991,2020-01-15T00:00:00.000+0000,2020-01-30T00:00:00.000+0000,IF- (7CD16AA),HP Sprocket Studio Bundle,8SU11A,3624,10113,CP - Add Missed Paper to Studio at NAE,MARKET DEVELOPMENT FUNDS,In-Store Merchandising Enhancement,New Age,Approved,HPS HW,Program,Advertising
48720,19471,2022-05-01T00:00:00.000+0000,2022-05-07T00:00:00.000+0000,MS- (544H8A),HyperXCloudBluePS5HHSC2-FA-BL,4P5H9AA,913.5,HAIS-TG-X01022,Target May Promo 5/1/2022-6/4/2022,undefined,Instant Savings,Target,Approved,HyperX,UNKNOWN,UNKNOWN
50238,20134,2022-07-03T00:00:00.000+0000,2022-07-09T00:00:00.000+0000,MS- (544H8A),HyperXCloudXFlightHX-HSCFX-BK/WW,4P5J6AA,40,HAIS-MC-X00622,Micro Center July Promo 7/3/2022-7/30/2022		,undefined,Instant Savings,Microcenter,Pending,HyperX,UNKNOWN,UNKNOWN
54908,21867,2022-02-02T00:00:00.000+0000,2022-11-08T00:00:00.000+0000,KV- (4XM40A),,,30000,AEL-2X-N05222,Notebook EOL FQ2'22 Acceleration,undefined,End Of Life,New Age,Approved,PC,UNKNOWN,UNKNOWN
60131,23533,2022-12-28T00:00:00.000+0000,2023-02-05T00:00:00.000+0000,KV- (4XM40A),15-EU1073CL,644F0UA,875,AIS-CO-N01123,Costco C2'22 Warehouse NB IR Program,undefined,Instant Savings,Costco,Approved,PC,Program,Other
40575,15308,2021-04-01T00:00:00.000+0000,2021-04-30T00:00:00.000+0000,GJ- (7CC96AA),,,91121.22,11272,Q2 21 Toner 1% CX Program,Sales goal Attainment,Margin Enhancement,Amazon,Reversed,Toner,Program,Other
26017,8399,2020-01-01T00:00:00.000+0000,2020-03-31T00:00:00.000+0000,4H- (7CC47AA),,,27604.41,9842,ASP - CQ1'20 Printer Share Agreement ,Sales goal Attainment,Margin Enhancement,Costco,Approved,HPS HW,Program,Other
50240,20134,2022-07-17T00:00:00.000+0000,2022-07-23T00:00:00.000+0000,MS- (544H8A),HyperXStingerCorePS5HX-HSCSC-BK,4P5J8AA,15,HAIS-MC-X00622,Micro Center July Promo 7/3/2022-7/30/2022		,undefined,Instant Savings,Microcenter,Pending,HyperX,UNKNOWN,UNKNOWN
25997,8446,2020-03-08T00:00:00.000+0000,2020-03-14T00:00:00.000+0000,C5- (7CC72AA),Color LJ Enterprise M553dn Printer,B5L25A,99,9816,"Trade in and Recycle - Jan-Mar, 2020 OPS ",SPECIAL NEGOTIATED DISCOUNT,MIR,Best Buy,Reversed,OPS HW,Program,Other
40980,15432,null,null,,,,0,,,,,,,,UNKNOWN,UNKNOWN
42687,15935,2021-10-29T00:00:00.000+0000,2021-11-30T00:00:00.000+0000,2N- (7CC42AA),HP DeskJet 2755e,26K67A,165.99,11809,ASP HSN QVC DJ 2755e airings,Sales goal Attainment,Pay for Performance 2nd Tier,New Age,Approved,HPS HW,Program,Other
36508,14313,2020-08-01T00:00:00.000+0000,2020-09-30T00:00:00.000+0000,5M- (7CC52AA),,,75000,10837,Staples Aug/Sept Top Rail/Search Program,MARKET DEVELOPMENT FUNDS,Ad Funding,Staples,Approved,HPS HW,Search,Search
